001|झटिति
002|ओम्
003|औषधम्
004|पितॄन्
005|अत
006|अथ
007|अद्य
008|आगम्य
009|आत्मा
010|आपो
011|इव
012|ईशो
013|उत
014|ऊचुः
015|ऋते
016|एष
017|ऐन्द्रे
018|कः
019|कथं
020|कल्पते
021|किल
022|कीटः
023|कृशो
024|कृष्ण
025|को
026|क्षयं
027|खं
028|खड्गो
029|गङ्गे
030|गच्छ
031|गजा
032|गतो
033|गव्ये
034|गुण
035|घोरं
036|चा
037|छेत्ता
038|जग्राह
039|जघनं
040|जघ्नुः
041|जनः
042|ञ्चकार
043|तत
044|तमन्धं
045|तिष्ठ
046|तु
047|ते
048|तौ
049|त्यज
050|त्वं
051|दण्ड
052|दश
053|दुष्करा
054|द्वे
055|धनं
056|नः
057|नर
058|नष्टं
059|नु
060|नृप
061|नैव
062|नो
063|पञ्च
064|पठेत्
065|पते
066|परं
067|पश्य
068|पार्थ
069|पृच्छ
070|प्राह
071|फलं
072|बभञ्ज
073|बभौ
074|बलं
075|ब्रह्म
076|भव
077|भीम
078|मग्ना
079|मध्ये
080|मा
081|मिथ्या
082|मूढ
083|मूढे
084|मे
085|मेघा
086|यं
087|यः
088|यज्ञः
089|यत्र
090|यदन्नो
091|यश्च
092|यस्तु
093|यो
094|रणे
095|लङ्का
096|लब्धे
097|लभते
098|लोम्नां
099|वः
100|वचो
101|वद
102|वधः
103|वन्दे
104|वर
105|वराँल्लेभे
106|वर्म
107|वै
108|शक्तः
109|शक्र
110|शतं
111|शरण्यः
112|श्रेय
113|षोडश
114|सखा
115|सत्सु
116|सप्त
117|सर्व
118|सह
119|सा
120|साम्ब
121|सायाह्ने
122|सिद्धं
123|सूत
124|सूर्य
125|सैषा
126|स्तभ्य
127|स्थ
128|स्फीतो
129|स्म
130|स्वं
131|हतौ
132|हन्त
133|हली
134|हि
135|हे
136|ह्यसि
137|इहाद्य रजनीं राम वसेम शुभदर्शन
138|रावणो विदितो मह्यं लङ्का चास्य महापुरी
139|यदि तेन पुरा मुक्तो भीमसेनो बकेन वै
140|स चक्रे तात लोकानां विनाशाय महामनाः
141|उत्तरां तु दिशं सर्वां विचित्य स महाकपिः
142|युध्यस्व यदि शूरोऽसि मुहूर्तं तिष्ठ रावण
143|भीष्मं प्रमुखतः कृत्वा प्रययौ सह सेनया
144|उत्थाय तु महाबाहुः क्रुद्धो नाग इव श्वसन्
145|तथा त्वमपि सर्वेषां कौरवाणां गतिर्भव
146|विशीर्णं पतितं भूमौ कवचं कस्य काञ्चनम्
147|एवमुक्तः स रामेण महात्मा हरियूथपः
148|तद्वनं तापसा नित्यं शेषाश्च वनचारिणः
149|कुबेरेण यथा हीनं वनं चैत्ररथं तथा
150|संमोहं परमं गत्वा प्रैक्षत द्रोणजं ततः
151|सुवर्णं परमं दानं सुवर्णं दक्षिणा परा
152|सुवर्णं पावनं शक्र पावनानां परं स्मृतम्
153|तपसा च सुतप्तेन वरं वरय सुव्रत
154|उपोष्य संशितो भूत्वा हित्वा वेदकृताः श्रुतीः
155|अवश्यं तु मया वाच्यं यत्पथ्यं तव पाण्डव
156|तान्निहत्य महाबाहू राधेयस्यैव पश्यतः
157|न सोढुं समरे शक्यस्तं न बुध्यसि केशवम्
158|यथार्हं चापि संपूज्य सर्वानेव नरान्ययौ
159|अब्रवीद् ब्रुवतां श्रेष्ठः क्रमज्ञः श्रेयसां क्रमम्
160|लभन्तां पाण्डवा राज्यं शमं गच्छन्तु कौरवाः
161|स तु तीरं समासाद्य तमसाया महामुनिः
162|ततो दधिमुखः क्रुद्धो वनपस्तत्र वानरः
163|समुपादाय रत्नानि विविधानि महान्ति च
164|स्वागतं सर्वथा दिष्ट्या पाण्डोः पश्याम संततिम्
165|तपसा वै सुतप्तेन दमेन नियमेन च
166|सहदेवो युधां श्रेष्ठो धर्मराजे महात्मनि
167|स शक्रेण समागम्य यमेन वरुणेन च
168|यस्त्वयं विमलः खड्गो गव्ये कोशे समर्पितः
169|केन वा कर्मणा देव भवन्ति वनगोचराः
170|स्वयमेव महाराज गत्वा सबलवाहनः
171|तयोः समागमः पूर्वं प्रीत्या हार्दो व्यजायत
172|महानदीं गयां चैव गङ्गामपि च भारत
173|इयं भार्या च वैदेही मम सीतेति विश्रुता
174|विरराज महाबाहुः सशृङ्ग इव पर्वतः
175|प्रविवेश पुरीं वीरो लक्ष्मणः परवीरहा
176|अथ तत्रैव वा तेषां निवासं रोचयन्तु ते
177|पित्रा दशरथेन त्वं श्वशुरेण ममानघ
